codigo,sensor,nombre,departamen,municipio,zona_hidro,latitud,longitud,categoria,unidad,dpto_cnmbr,mpio_cnmbr,depto_def,compara_dp,compara_mp,mpio_def,geometry,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain,prob_ep
27015190,240,GUAYABITO,ANTIOQUIA,SANTO DOMINGO,NECHÍ,6.540388889,-75.14675,PRECIPITACIÓN,mm,ANTIOQUIA,SANTO DOMINGO,ANTIOQUIA,T,T,SANTO DOMINGO,POINT (881735.301961131 1215123.4674707185),2025-11-03,3.9,7.0,7.0,70.7,346.1,550.5000000000001,0.88
21206900,240,LA ESPERANZA USME,BOGOTÁ,BOGOTÁ D.C,META,4.44914,-74.10792,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTÁ D.C,POINT (996624.6760051949 983737.9549759204),2025-11-03,0.6000000000000001,0.0,0.1,4.7,19.800000000000004,114.5,0.65
27027060,240,BRISAS DEL NECHI,ANTIOQUIA,YARUMAL,NECHÍ,6.939694444,-75.38083333,PRECIPITACIÓN,mm,ANTIOQUIA,YARUMAL,ANTIOQUIA,T,T,YARUMAL,POINT (855958.2142717023 1259354.7647516245),2025-11-03,0.0,0.0,0.0,0.0,33.800000000000004,33.800000000000004,0.515
2620500209,240,ACUEDUCTO ARMENIA,ANTIOQUIA,ARMENIA,CAUCA,6.161666667,-75.775805556,PRECIPITACIÓN,mm,ANTIOQUIA,ARMENIA,ANTIOQUIA,T,T,ARMENIA,POINT (812004.2091400571 1173414.797675517),2025-11-03,5.3,0.1,22.200000000000003,22.9,84.89999999999999,185.5,0.8
2120000170,240,COLEGIO SIMON RODRIGUEZ SEDE C,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.6405,-74.05435,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTÁ D.C,POINT (1002569.5332556269 1004898.7552689358),2025-11-03,0.0,0.0,0.0,0.0,6.1,38.7,0.625
27035050,240,SENA - EL BAGRE,ANTIOQUIA,EL BAGRE,NECHÍ,7.584666667,-74.800694444,PRECIPITACIÓN,mm,ANTIOQUIA,EL BAGRE,ANTIOQUIA,T,T,EL BAGRE,POINT (920192.8753776448 1330552.0646386286),2025-11-03,20.3,3.3999999999999995,10.9,22.7,184.70000000000005,462.7,0.92
24035505,240,JERICÓ-24035505,BOYACÁ,JERICÓ,SOGAMOSO,6.140444444,-72.59033333,PRECIPITACIÓN,mm,BOYACÁ,JERICÓ,BOYACÁ,T,T,JERICÓ,POINT (1164626.1858387 1170997.3507955617),2025-11-03,0.0,0.0,0.0,0.8,20.7,67.0,0.705
2620500211,240,EL PLAN,ANTIOQUIA,FREDONIA,CAUCA,5.924716667,-75.667316667,PRECIPITACIÓN,mm,ANTIOQUIA,FREDONIA,ANTIOQUIA,T,T,FREDONIA,POINT (823940.1024177356 1147164.3659624155),2025-11-03,5.3,0.0,15.6,17.1,160.10000000000002,292.3,0.76
2613500126,240,POTREROS,RISARALDA,SANTA ROSA DE CABAL,CAUCA,4.885680556,-75.558080556,PRECIPITACIÓN,mm,RISARALDA,SANTA ROSA DE CABAL,RISARALDA,T,T,SANTA ROSA DE CABAL,POINT (835760.1272752318 1032192.014342071),2025-11-03,0.2,1.1,2.2,2.7,68.2,193.2,0.705
21205710,240,JARDIN BOTANICO,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.669333333,-74.10266667,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTÁ D.C,POINT (997208.573491391 1008087.1989255693),2025-11-03,4.0,0.0,0.0,0.0,54.8,136.70000000000002,0.655
