codigoestacion,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain
2120000173,2025-11-02,0.0,0.0,0.0,17.3,35.60000000000001,101.1
2120000174,2025-11-02,0.0,0.0,0.0,0.0,58.99999999999999,139.6
2120000175,2025-11-02,0.0,0.0,0.0,0.5,20.700000000000003,65.8
2120500050,2025-11-02,0.0,0.0,0.0,0.0,70.6,119.00000000000001
2120500135,2025-11-02,0.2,0.0,0.0,0.0,82.8,112.2
2120500201,2025-11-02,0.0,0.0,0.1,0.1,20.200000000000003,80.50000000000001
2120500204,2025-11-02,0.0,0.0,0.0,0.0,27.5,93.89999999999999
2120700037,2025-11-02,0.0,0.0,0.0,0.0,10.6,81.1
2120700038,2025-11-02,0.0,0.0,0.0,1.7000000000000002,8.000000000000002,58.00000000000001
2120700146,2025-11-02,0.2,0.0,0.4,0.4,100.2,134.0
2120700154,2025-11-02,0.0,0.0,0.0,0.0,13.399999999999999,85.99999999999999
2120700162,2025-11-02,0.0,0.0,2.4,2.4,70.79999999999998,164.39999999999998
2121500042,2025-11-02,0.0,0.6000000000000001,0.8,1.6,48.400000000000006,405.0
2125700094,2025-11-02,0.0,92.4,94.60000000000001,94.60000000000001,164.4,297.99999999999994
2301700089,2025-11-02,0.3,0.0,2.6,2.6,8.5,27.1
2302500064,2025-11-02,0.0,42.199999999999996,65.0,65.0,200.2,398.6
2305500055,2025-11-02,0.0,38.300000000000004,56.5,56.6,209.6,392.50000000000006
2306500106,2025-11-02,0.0,0.0,0.0,0.0,6.4,116.39999999999998
2306500204,2025-11-02,0.0,0.0,0.0,0.0,59.0,98.8
2308500071,2025-11-02,1.6,0.4,10.6,10.6,167.6,293.40000000000003
2311500200,2025-11-02,2.2,2.5,2.5,2.5,5.9,14.9
2319500043,2025-11-02,0.0,1.2000000000000002,1.4000000000000001,4.8,106.8,177.60000000000002
2319500125,2025-11-02,0.0,0.0,8.4,12.8,113.2,162.80000000000004
2319500137,2025-11-02,0.2,0.0,0.2,2.8000000000000003,92.19999999999999,148.4
2319500207,2025-11-02,0.0,0.0,0.3,5.8,37.89999999999999,62.699999999999996
2319700096,2025-11-02,5.4,0.0,2.4,12.600000000000001,129.39999999999998,224.4
2401500040,2025-11-02,2.4,0.0,0.0,0.0,15.8,90.4
2401500052,2025-11-02,4.2,0.0,8.6,9.0,85.0,184.4
2401500080,2025-11-02,0.6000000000000001,0.0,3.4,4.0,32.0,122.0
2401500086,2025-11-02,0.0,0.0,0.0,0.0,18.8,58.00000000000001
2403000113,2025-11-02,0.0,0.0,0.0,0.4,9.600000000000001,13.9
2403500041,2025-11-02,0.0,0.0,7.8,7.8,44.2,96.39999999999999
2403500085,2025-11-02,0.0,0.0,1.6,2.0,65.80000000000001,118.0
2601700104,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
2604500039,2025-11-02,0.0,5.4,24.6,24.6,192.8,250.2
2612500038,2025-11-02,0.0,0.0,0.4,9.2,294.4,582.6
